species_tag,sex_tag,age_tag,age_yearold_tag,bmi_tag,count
others,male,postnatal,"[30 years old, 35 years old)",others,22
others,male,postnatal,"[35 years old, 40 years old)",others,6
others,male,postnatal,"[40 years old, 45 years old)",others,8
others,male,postnatal,"[45 years old, 50 years old)",others,6
others,male,postnatal,"[5 years old, 10 years old)",others,119
others,male,postnatal,"[50 years old, 55 years old)",others,2
others,male,postnatal,"[55 years old, 60 years old)",others,1
others,male,postnatal,"[60 years old, 65 years old)",others,10
others,male,postnatal,"[65 years old, 70 years old)",others,3
others,male,postnatal,"[70 years old, 75 years old)",others,4
others,male,postnatal,"[80 years old, 85 years old)",others,2
others,male,postnatal,"[85 years old, 90 years old)",others,1
others,male,postnatal,"[90 years old, 95 years old)",others,4
others,male,postnatal,others,others,76
others,male,postnatal,<1 year old,unknown,3
others,male,postnatal,"[1 year old, 5 years old)",unknown,3
others,others,postnatal,<1 year old,Obesity,3
others,others,postnatal,"[60 years old, 65 years old)",Obesity,1
others,others,postnatal,"[80 years old, 85 years old)",Obesity,1
others,others,postnatal,<1 year old,Underweight,1
others,others,postnatal,<1 year old,others,18150
others,others,postnatal,>=100 years old,others,67
others,others,postnatal,"[1 year old, 5 years old)",others,790
others,others,postnatal,"[10 years old, 15 years old)",others,594
others,others,postnatal,"[15 years old, 20 years old)",others,314
others,others,postnatal,"[20 years old, 25 years old)",others,404
others,others,postnatal,"[25 years old, 30 years old)",others,103
others,others,postnatal,"[30 years old, 35 years old)",others,181
others,others,postnatal,"[35 years old, 40 years old)",others,65
others,others,postnatal,"[40 years old, 45 years old)",others,107
others,others,postnatal,"[45 years old, 50 years old)",others,61
others,others,postnatal,"[5 years old, 10 years old)",others,900
others,others,postnatal,"[50 years old, 55 years old)",others,46
others,others,postnatal,"[55 years old, 60 years old)",others,26
others,others,postnatal,"[60 years old, 65 years old)",others,112
others,others,postnatal,"[65 years old, 70 years old)",others,31
others,others,postnatal,"[70 years old, 75 years old)",others,33
others,others,postnatal,"[75 years old, 80 years old)",others,22
others,others,postnatal,"[80 years old, 85 years old)",others,20
others,others,postnatal,"[85 years old, 90 years old)",others,10
others,others,postnatal,"[90 years old, 95 years old)",others,24
others,others,postnatal,"[95 years old, 100 years old)",others,7
others,others,postnatal,others,others,2314
others,others,postnatal,<1 year old,unknown,12
others,others,postnatal,"[1 year old, 5 years old)",unknown,1
others,others,postnatal,"[10 years old, 15 years old)",unknown,1
others,others,postnatal,"[15 years old, 20 years old)",unknown,2
others,others,postnatal,"[40 years old, 45 years old)",unknown,1
others,others,postnatal,"[5 years old, 10 years old)",unknown,1
others,others,postnatal,"[75 years old, 80 years old)",unknown,1
others,others,postnatal,others,unknown,3
others,unknown,postnatal,<1 year old,unknown,2
others,unknown,postnatal,"[1 year old, 5 years old)",unknown,1
others,unknown,postnatal,"[45 years old, 50 years old)",unknown,1
others,unknown,postnatal,"[5 years old, 10 years old)",unknown,1
others,unknown,postnatal,others,unknown,1
others,female,prenatal,unknown,others,128
others,female,prenatal,unknown,unknown,1
others,male,prenatal,unknown,others,124
others,others,prenatal,unknown,others,10689
others,others,prenatal,unknown,unknown,12
others,female,unknown,unknown,Normal weight,1
others,female,unknown,unknown,Obesity,3
others,female,unknown,unknown,Underweight,2
others,female,unknown,unknown,others,6447
others,female,unknown,unknown,unknown,17
others,male,unknown,unknown,Normal weight,2
others,male,unknown,unknown,Obesity,3
others,male,unknown,unknown,Underweight,1
others,male,unknown,unknown,others,8334
others,male,unknown,unknown,unknown,14
others,others,unknown,unknown,Normal weight,21
others,others,unknown,unknown,Obesity,78
others,others,unknown,unknown,Overweight,17
others,others,unknown,unknown,Underweight,33
others,others,unknown,unknown,others,692893
others,others,unknown,unknown,unknown,6375
others,unknown,unknown,unknown,others,8
others,unknown,unknown,unknown,unknown,266
unknown,male,others,unknown,unknown,2
unknown,others,others,unknown,others,6
unknown,unknown,others,unknown,unknown,18
unknown,female,postnatal,others,others,1
unknown,female,postnatal,"[10 years old, 15 years old)",unknown,1
unknown,others,postnatal,<1 year old,others,3
unknown,others,postnatal,"[1 year old, 5 years old)",others,3
unknown,others,postnatal,"[5 years old, 10 years old)",others,2
unknown,unknown,postnatal,<1 year old,unknown,2
unknown,unknown,postnatal,"[10 years old, 15 years old)",unknown,1
unknown,unknown,postnatal,"[20 years old, 25 years old)",unknown,1
unknown,unknown,postnatal,others,unknown,1
unknown,others,prenatal,unknown,others,2
unknown,female,unknown,unknown,others,4
unknown,male,unknown,unknown,others,6
unknown,others,unknown,unknown,others,210
unknown,others,unknown,unknown,unknown,3
